name,logo,ad,motto
Hyundai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkMZ3WM-W2dgtDP2TmDJIrVTeTeCE1Yup7Bu4jvIBqSZ0Cp2Cwi6_lZi1Amg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDepPwTZNQ7irCAeHC6nhCU9YYk1FWK_hkJdmvXhFZFHU3mMyT8MLcIUx3MQ&s,Better Drives Us
IBM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJBj5soeVPeXm9cFAMjKrsWW35kZ0nHGgLV7LyzlSNEJFyOOuDYE7TkxMJrg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7uL-mGOYGvG71GeyJpA64LGF74Q5pfvDHocyLA4ZyDxBVuQ_Cj2GMPGStC7Q&s,Lets Put Smart to Work
IKEA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRigJgnkvioZ9ZDnQqAunVK4ZK5ojRGQDez2A4jR31lUVSu1maM3RQCb9gdgA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8Y1MIbJVOFBAlikiWaiOsQRUsfE8ZYiSXN8CtfoEs7vPAqafUEZfJJqaOuNI&s,NA  Does not use a tagline
Intel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5ICYKxNRRE5i-eUf45besnwQay0Nx0m0gYmr5ozq1J0MzUAvHkVgUC1UpLl4&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAugrumXLhokLS-PDKWCtX1HBXa583gyaiNznRyKOFk7jq4dBw6QBP9OOKvZg&s,Experience Whats Inside
J.P. Morgan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDPKT01MJQYZ84OKZFA73W_msI6lAGTMvuy3-jmjQ_ZL8xN20wLBddpWvQmGA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf6TZ_dx4EHXxSEUp49a395wpdGKZIRHwQRDyD1HYQ5HfqmDn7RvHsrpfrhQ&s,Make More of Whats Yours
Jack Daniel’s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuX9TgeHqDuTA6WaGojdb4EQc2zgkhEHYaiqEt444rhFOWgBMQBtNwXXGrVg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCHR7BtxXwSbMezYrxmevB30fVv6wUrF8GSVJ8lFze1HSchvQ6uyTHtMkqCgo&s,What the Label Doesnt Tell You
John Deere,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2FMAmK0FrlPizlTGGHZlYAcb87cbXEnizSAnTTscF_xWjPp5HFSDIcsR1aw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTskzWvTtR-Hf_SLqcnkwFxNu8DRzzWIGP4GgsXxJnqbboiYmJ_FofcrRqdg&s,Nothing Runs Like a Deere
Johnson & Johnson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5FFwU1V1VFhtMVex4affFD7eAPg-tf0chgAeO-lcD73frYdHGYu8H7VlFhA8&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5FFwU1V1VFhtMVex4affFD7eAPg-tf0chgAeO-lcD73frYdHGYu8H7VlFhA8&s,So Much More Baby
Kellogg’s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoAh4WQaYKNLgaNq4Qf3qB_VbGBzwfJ-5DcAVTTanto20hSCf67bj8NaNcKy4&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJN0DXLgtC6rj_CNiw2SV1wuscJuG4Dgyft4II859xO-gQ06C1XVa9fZo8Y3w&s,NA  Does not use a tagline
KFC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJUvQ65x2_VUSc009BNv9EZxNg0odmSMLNOqbhb0-txhrjHQEfOjNodY6X7Q&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRj1pLB03A0Dtdoe3aqShmIgC1QC5BxfrzbABaj0GKLAEBHQm4a5PpWBXtAmKI&s,Its Finger Lickin Good
Kia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrTa1KAVQbzW30hwnF_IRhg6H2TVsiv1QIYMyxuI5MF61JIz4nDsBxDO3TmnI&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3KnrmVUkNsl4c4rOnnIKatbghf6IcBXplrLzmAP2n2nUOw4JYdWZ5cisoj28&s,Give It Everything
L’Oréal Paris,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT45KjShDv8ADKdlU18hSbJMkC4e_u5x88HKMxWTNZrOV7btzb4kt8MjSOf3EQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS54kwGEwjH76lJisMvDjuzY0gD7esYJHwYPsaqGjC-xd7Via09u3fk86AmYQU&s,Because Youre Worth It
Land Rover,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgtWw9tFRjlWza7M7Dd0IzwwhAdbFOOXwNLxKc0NRK4MfRccpdQ6T79hwF9w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSJbf3x07qE8HKWXWmNjEVdPF8_8onMCpB7peWzI8q4ww3Z3Xm_Plnw5qwKJg&s,Above  Beyond
LEGO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlOxo8MN8GUK87m4QVxHurqJ04oGYxh_UjBmRMSTcDbAerEWjR_7ARuFI5Kg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzOpw3TBtOfLWtxMUc9woRE_H08CzKUZ8m90JZMdRHwaEghKYb5t61OY3k1g&s,NA  Does not use a tagline
LinkedIn,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwvSe0PFglnxDfubeV4b2oaKwSHNMeai9qoXhtOPNs3E-Qmuanz0y_8cgB5w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXxQ0TYToZLx7KYHXqEE2Ph1696G7b1laa1Kh6iOHhNy9cejCBDmJ_ggLcpNw&s,Were In It Together
Louis Vuitton,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTAEcu7foJTJ0tMkmaIDLkol2EKwk8Rhyu1OVcQf7rg1YjJkbE8DW0iAhidg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSciJ97Oa3n6x0gEcPvKHTv8Df3Ea97n4rBd1V9xUrJ79oweZwct7CHAobvOg&s,NA  Does not use a tagline
Mastercard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_Mql-QYEov7W3U-GAqt4Jc-llnwLL5x1ruwz7SDtXZVXBn4-ccqvYvySlQCU&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7seoGuAcYuutuLXj53iodmu9_6p0l03xqx-GLhbb82pjwoMdl0afByIUfwMs&s,Start Something Priceless
